Time(UTC+01:00),Futures Trading Pair,Direction,Leverage,Order Type,Order Qty (Cont.),Filled Qty (Cont.),Order Qty (Crypto),Filled Qty (Crypto),Order Qty (Amount),Filled Qty (Amount),Order Price,Average Filled Price,Closing PNL,Trading Fee,Fee-payment Crypto,Status
2025-02-20 22:32:07,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,9.667,9.667,9.667e-05,9.667e-05,0.0,0,USDT,FINISHED
2025-02-20 22:40:02,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,9.625,9.625,9.625e-05,9.625e-05,0.042,0,USDT,FINISHED
2025-02-20 22:40:04,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,9.625,9.625,9.625e-05,9.625e-05,0.0,0,USDT,FINISHED
2025-02-20 23:02:14,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,9.621,9.621,9.621e-05,9.621e-05,-0.004,0,USDT,FINISHED
2025-02-20 23:02:16,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,9.621,9.621,9.621e-05,9.621e-05,0.0,0,USDT,FINISHED
2025-02-20 23:19:07,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,9.632,9.632,9.632e-05,9.632e-05,-0.011,0,USDT,FINISHED
2025-02-20 23:19:08,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,9.632,9.632,9.632e-05,9.632e-05,0.0,0,USDT,FINISHED
2025-02-20 23:29:02,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,9.678,9.678,9.678e-05,9.678e-05,0.046,0,USDT,FINISHED
2025-02-20 23:29:03,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,9.681,9.681,9.681e-05,9.681e-05,0.0,0,USDT,FINISHED
2025-02-20 23:41:03,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,9.625,9.625,9.625e-05,9.625e-05,0.056,0,USDT,FINISHED
2025-02-20 23:41:05,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,9.625,9.625,9.625e-05,9.625e-05,0.0,0,USDT,FINISHED
2025-02-21 00:04:11,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,9.617,9.617,9.617e-05,9.617e-05,-0.008,0,USDT,FINISHED
2025-02-21 00:04:12,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,9.616,9.616,9.616e-05,9.616e-05,0.0,0,USDT,FINISHED
2025-02-21 00:31:03,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,9.663,9.663,9.663e-05,9.663e-05,-0.047,0,USDT,FINISHED
2025-02-21 00:31:04,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,9.663,9.663,9.663e-05,9.663e-05,0.0,0,USDT,FINISHED
